
"Repository,Repository ID,Tool,Alert Number,Severity,Created At,Updated At,Resolved At,Reopened At,Resolved Reason,Secret Bypassed,Secret Type,Secret Provider,Secret Validity,GHSA ID,Ecosystem,Package,Dependency Scope,CodeQL Rule,Third Party Tool Rule,Teams (truncated at 20 values),Repository Visibility,Repository Topics,Repository Archived,Custom Property: Language,Custom Property: MicroservicesLanguage,Custom Property: Type"
"bdsoflow/amr-net",757394314,"CodeQL",5,"high","2024-09-23T13:22:18Z","2024-12-02T13:52:21Z",,,,,,,,,,,,"js/regex/missing-regexp-anchor",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",4,"high","2024-09-23T13:22:18Z","2024-12-02T13:52:21Z",,,,,,,,,,,,"js/regex/missing-regexp-anchor",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",3,"medium","2024-09-23T13:22:18Z","2024-09-23T13:22:19Z",,,,,,,,,,,,"js/unsafe-jquery-plugin",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",2,"medium","2024-09-23T13:22:18Z","2025-01-25T20:41:41Z",,,,,,,,,,,,"js/unsafe-jquery-plugin",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/amr-net",757394314,"CodeQL",1,"medium","2024-09-23T13:22:18Z","2025-01-25T20:41:41Z",,,,,,,,,,,,"js/unsafe-jquery-plugin",,,"internal","AMR - Aplicação Monitorização do Risco",,,,
"bdsoflow/frontend-react-dsfs-desafios",892706196,"Dependabot",15,"medium","2025-02-18T20:56:29Z","2025-02-18T20:56:29Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-bslg-businesslogsv2",877825403,"Dependabot",17,"medium","2025-02-18T20:56:00Z","2025-02-18T20:56:00Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-framework",887963234,"Dependabot",24,"medium","2025-02-18T20:55:23Z","2025-02-18T20:55:23Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-businesslogs",885447160,"Dependabot",40,"medium","2025-02-18T20:55:18Z","2025-02-18T20:55:18Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-dsfs-desafios",892706196,"Dependabot",14,"medium","2025-02-18T20:42:54Z","2025-02-18T20:42:54Z",,,,,,,,"GHSA-h5c3-5r3r-rr8q","npm","@octokit/plugin-paginate-rest","development",,,,"internal",,,,,
"bdsoflow/frontend-react-bslg-businesslogsv2",877825403,"Dependabot",16,"medium","2025-02-18T20:42:08Z","2025-02-18T20:42:08Z",,,,,,,,"GHSA-h5c3-5r3r-rr8q","npm","@octokit/plugin-paginate-rest","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-framework",887963234,"Dependabot",23,"medium","2025-02-18T20:41:26Z","2025-02-18T20:41:26Z",,,,,,,,"GHSA-h5c3-5r3r-rr8q","npm","@octokit/plugin-paginate-rest","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-playground",886749470,"Dependabot",138,"medium","2025-02-18T20:23:03Z","2025-02-18T20:23:03Z",,,,,,,,"GHSA-rmvr-2pp2-xj38","npm","@octokit/request","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-businesslogs",885447160,"Dependabot",39,"medium","2025-02-18T20:16:49Z","2025-02-18T20:16:49Z",,,,,,,,"GHSA-h5c3-5r3r-rr8q","npm","@octokit/plugin-paginate-rest","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-playground",886749470,"Dependabot",137,"medium","2025-02-18T20:08:01Z","2025-02-18T20:08:01Z",,,,,,,,"GHSA-h5c3-5r3r-rr8q","npm","@octokit/plugin-paginate-rest","development",,,,"internal",,,,,
"bdsoflow/frontend-react-dsfs-desafios",892706196,"Dependabot",13,"medium","2025-02-17T05:21:26Z","2025-02-17T05:21:26Z",,,,,,,,"GHSA-76p7-773f-r4q5","npm","serialize-javascript","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-bslg-businesslogsv2",877825403,"Dependabot",15,"medium","2025-02-17T02:06:58Z","2025-02-17T02:06:58Z",,,,,,,,"GHSA-76p7-773f-r4q5","npm","serialize-javascript","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-playground",886749470,"Dependabot",136,"medium","2025-02-16T21:29:23Z","2025-02-16T21:29:23Z",,,,,,,,"GHSA-76p7-773f-r4q5","npm","serialize-javascript","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-playground",886749470,"Dependabot",135,"medium","2025-02-16T21:29:22Z","2025-02-16T21:29:22Z",,,,,,,,"GHSA-76p7-773f-r4q5","npm","serialize-javascript","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-playground",886749470,"Dependabot",134,"medium","2025-02-16T21:29:22Z","2025-02-16T21:29:22Z",,,,,,,,"GHSA-76p7-773f-r4q5","npm","serialize-javascript","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-framework",887963234,"Dependabot",22,"medium","2025-02-16T21:23:23Z","2025-02-16T21:23:23Z",,,,,,,,"GHSA-76p7-773f-r4q5","npm","serialize-javascript","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-businesslogs",885447160,"Dependabot",38,"medium","2025-02-16T20:42:57Z","2025-02-16T20:42:57Z",,,,,,,,"GHSA-76p7-773f-r4q5","npm","serialize-javascript","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-dsfs-desafios",892706196,"Dependabot",12,"medium","2025-02-15T00:22:23Z","2025-02-15T00:22:23Z",,,,,,,,"GHSA-xx4v-prfh-6cgc","npm","@octokit/request-error","development",,,,"internal",,,,,
"bdsoflow/frontend-react-bslg-businesslogsv2",877825403,"Dependabot",14,"medium","2025-02-15T00:21:57Z","2025-02-15T00:21:57Z",,,,,,,,"GHSA-xx4v-prfh-6cgc","npm","@octokit/request-error","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-framework",887963234,"Dependabot",21,"medium","2025-02-15T00:21:25Z","2025-02-15T00:21:25Z",,,,,,,,"GHSA-xx4v-prfh-6cgc","npm","@octokit/request-error","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-businesslogs",885447160,"Dependabot",37,"medium","2025-02-15T00:21:20Z","2025-02-15T00:21:20Z",,,,,,,,"GHSA-xx4v-prfh-6cgc","npm","@octokit/request-error","development",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-playground",886749470,"Dependabot",133,"medium","2025-02-14T23:59:14Z","2025-02-14T23:59:14Z",,,,,,,,"GHSA-xx4v-prfh-6cgc","npm","@octokit/request-error","development",,,,"internal",,,,,
"bdsoflow/frontend-react-dsfs-desafios",892706196,"Dependabot",11,"medium","2025-02-14T19:50:31Z","2025-02-14T19:50:31Z",,,,,,,,"GHSA-vhxf-7vqr-mrjg","npm","dompurify","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-bslg-businesslogsv2",877825403,"Dependabot",13,"medium","2025-02-14T19:50:28Z","2025-02-14T19:50:28Z",,,,,,,,"GHSA-vhxf-7vqr-mrjg","npm","dompurify","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-framework",887963234,"Dependabot",20,"medium","2025-02-14T19:50:24Z","2025-02-14T19:50:24Z",,,,,,,,"GHSA-vhxf-7vqr-mrjg","npm","dompurify","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-framework",887963234,"Dependabot",19,"medium","2025-02-14T19:50:24Z","2025-02-14T19:50:24Z",,,,,,,,"GHSA-vhxf-7vqr-mrjg","npm","dompurify","runtime",,,,"internal",,,,,
"bdsoflow/nb-react-guidance",885332667,"Dependabot",7,"medium","2025-02-14T19:50:23Z","2025-02-14T19:50:23Z",,,,,,,,"GHSA-vhxf-7vqr-mrjg","npm","dompurify","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-businesslogs",885447160,"Dependabot",33,"medium","2025-02-14T19:32:59Z","2025-02-14T19:32:59Z",,,,,,,,"GHSA-vhxf-7vqr-mrjg","npm","dompurify","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-archetype",886775453,"Dependabot",9,"medium","2025-02-14T18:33:32Z","2025-02-14T18:33:32Z",,,,,,,,"GHSA-vhxf-7vqr-mrjg","npm","dompurify","runtime",,,,"internal",,,,,
"bdsoflow/frontend-react-oca-playground",886749470,"Dependabot",128,"medium","2025-02-14T18:33:30Z","2025-02-14T18:33:30Z",,,,,,,,"GHSA-vhxf-7vqr-mrjg","npm","dompurify","runtime",,,,"internal",,,,,
"bdsoflow/web-dotnet-service-oca-framework",914895231,"secret-scanning",3,,"2025-02-13T16:00:26Z","2025-02-13T16:00:26Z",,,,false,"azure_event_hub_key_identifiable","Azure Event Hub Key Identifiable","unknown",,,,,,,,"internal",,,,,
